"Site","Date","Time","Method","SPC","datetime"
"VAUL",2022-05-17,"03:30:24","YSI",111.2,2022-05-17 03:30:24
"VAUL",2022-05-25,"01:30:24","YSI",246.6,2022-05-25 01:30:24
"VAUL",2022-05-31,"02:30:24","YSI",352.3,2022-05-31 02:30:24
"VAUL",2022-06-06,"01:00:24","YSI",499.6,2022-06-06 01:00:24
"VAUL",2022-06-23,"01:00:24","YSI",281,2022-06-23 01:00:24
"VAUL",2022-06-24,"01:00:24","YSI",336.7,2022-06-24 01:00:24
"VAUL",2022-06-27,"23:30:24","YSI",470,2022-06-27 23:30:24
"VAUL",2022-07-11,"23:45:24","YSI",827,2022-07-11 23:45:24
"VAUL",2022-07-19,"00:00:24","YSI",787,2022-07-19 00:00:24
"VAUL",2022-08-03,"00:30:24","YSI",633,2022-08-03 00:30:24
"VAUL",2022-08-09,"02:30:24","YSI",418.8,2022-08-09 02:30:24
"VAUL",2022-08-17,"23:30:24","YSI",528,2022-08-17 23:30:24
"VAUL",2022-08-29,"23:45:24","YSI",618,2022-08-29 23:45:24
"VAUL",2022-09-14,"23:45:24","YSI",572,2022-09-14 23:45:24
"VAUL",2022-09-26,"00:15:24","YSI",334.7,2022-09-26 00:15:24
"VAUL",2022-10-01,"07:15:24","YSI",461.1,2022-10-01 07:15:24
"VAUL",2022-10-11,"04:30:24","YSI",351.5,2022-10-11 04:30:24
"STRT",2022-06-02,"02:30:24","YSI",100.5,2022-06-02 02:30:24
"STRT",2022-06-08,"04:00:24","YSI",111.6,2022-06-08 04:00:24
"STRT",2022-06-22,"05:45:24","YSI",121,2022-06-22 05:45:24
"STRT",2022-07-06,"02:15:24","YSI",131.6,2022-07-06 02:15:24
"STRT",2022-07-22,"08:00:24","YSI",137.3,2022-07-22 08:00:24
"STRT",2022-07-26,"09:00:24","YSI",137.8,2022-07-26 09:00:24
"STRT",2022-08-10,"03:00:24","YSI",136.9,2022-08-10 03:00:24
"STRT",2022-09-02,"02:45:24","YSI",145.6,2022-09-02 02:45:24
"STRT",2022-10-08,"04:45:24","YSI",146.6,2022-10-08 04:45:24
"POKE",2022-05-09,"02:30:24","YSI",68.4,2022-05-09 02:30:24
"POKE",2022-05-17,"06:45:24","YSI",78,2022-05-17 06:45:24
"POKE",2022-06-06,"05:30:24","YSI",109.8,2022-06-06 05:30:24
"POKE",2022-06-20,"06:30:24","YSI",118.3,2022-06-20 06:30:24
"POKE",2022-07-11,"04:15:24","YSI",125.6,2022-07-11 04:15:24
"POKE",2022-07-19,"03:30:24","YSI",125.5,2022-07-19 03:30:24
"POKE",2022-08-03,"06:15:24","YSI",131.5,2022-08-03 06:15:24
"POKE",2022-08-07,"08:45:24","YSI",127.3,2022-08-07 08:45:24
"POKE",2022-08-17,"02:15:24","YSI",131.3,2022-08-17 02:15:24
"POKE",2022-08-29,"03:00:24","YSI",133.1,2022-08-29 03:00:24
"POKE",2022-09-26,"04:45:24","YSI",132.3,2022-09-26 04:45:24
"POKE",2022-09-28,"01:30:24","YSI",130.1,2022-09-28 01:30:24
"POKE",2022-10-07,"00:15:24","YSI",128.4,2022-10-07 00:15:24
"MOOS",2022-06-07,"02:30:24","YSI",97.8,2022-06-07 02:30:24
"MOOS",2022-06-21,"05:30:24","YSI",113.7,2022-06-21 05:30:24
"MOOS",2022-06-22,"08:15:24","YSI",112,2022-06-22 08:15:24
"MOOS",2022-07-08,"01:45:24","YSI",125.3,2022-07-08 01:45:24
"MOOS",2022-07-18,"02:30:24","YSI",129.4,2022-07-18 02:30:24
"MOOS",2022-08-02,"03:45:24","YSI",135,2022-08-02 03:45:24
"MOOS",2022-08-16,"02:15:24","YSI",136.8,2022-08-16 02:15:24
"MOOS",2022-09-12,"05:45:24","YSI",142.9,2022-09-12 05:45:24
"MOOS",2022-08-31,"01:45:24","YSI",142.9,2022-08-31 01:45:24
"MOOS",2022-09-16,"02:15:24","YSI",122.4,2022-09-16 02:15:24
"MOOS",2022-09-28,"02:30:24","YSI",131.4,2022-09-28 02:30:24
"MOOS",2022-10-10,"02:00:24","YSI",136,2022-10-10 02:00:24
"FRCH",2022-05-25,"23:30:24","YSI",52.6,2022-05-25 23:30:24
"FRCH",2022-06-07,"23:30:24","YSI",67.1,2022-06-07 23:30:24
"FRCH",2022-06-21,"07:45:24","YSI",77.2,2022-06-21 07:45:24
"FRCH",2022-06-22,"09:30:24","YSI",79.7,2022-06-22 09:30:24
"FRCH",2022-07-08,"23:15:24","YSI",86.8,2022-07-08 23:15:24
"FRCH",2022-07-18,"23:45:24","YSI",87.7,2022-07-18 23:45:24
"FRCH",2022-08-02,"23:45:24","YSI",97.5,2022-08-02 23:45:24
"FRCH",2022-08-16,"23:30:24","YSI",99.2,2022-08-16 23:30:24
"FRCH",2022-08-31,"23:15:24","YSI",98.9,2022-08-31 23:15:24
"FRCH",2022-09-16,"23:45:24","YSI",92.7,2022-09-16 23:45:24
"FRCH",2022-09-28,"23:45:24","YSI",93.9,2022-09-28 23:45:24
"FRCH",2022-10-10,"23:45:24","YSI",99.6,2022-10-10 23:45:24
